"Fecha","Estación","Clorofila_a_(lab_µg) (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Conductividad (µS/cm)","Enterococos (Sustrato Definido - Enterolet®) (NMP/100mL)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Floración Algal (sin unid)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","Salinidad (psu)","Standard value a (NO APLICA)","standard value b (NO APLICA)","Temperatura (ºC)","Transparencia (cm)","Turbidez (NTU)"
"2021-02-17 08:50:00","01AC","","3000","","","","","0E-9","5.02","7.21","","","","20","","9.95"
"2021-02-17 09:30:00","06SF","","910","","","","","0E-9","4.8","7.4","","","","19.1","","7.66"
"2021-02-17 09:40:00","05SF","","2100","","","","","0E-9","4.92","6.8","","","","18.6","","7.97"
"2021-02-17 10:00:00","04SF","","4400","","","","","0E-9","5.1","6.84","","","","19","","7.59"
"2021-02-17 10:15:00","03LP","","1300","","","","","0E-9","5.6","6.8","","","","19","","7.09"
"2021-02-17 13:00:00","02SL","","1520","","","","","0E-9","5.83","7.35","","","","20.2","","13.9"
"2021-02-23 08:15:00","01AC","","1670","","","","","0E-9","5.1","7.15","","","","18","","8.75"
"2021-02-23 09:30:00","06SF","","2435","","","","","0E-9","5.15","6.9","","","","19","","3.77"
"2021-02-23 09:40:00","05SF","","770","","","","","0E-9","5.8","7.14","","","","17","","3.53"
"2021-02-23 10:05:00","04SF","","370","","","","","0E-9","4.8","6.9","","","","17.4","","3.54"
"2021-02-23 10:20:00","03LP","","1290","","","","","0E-9","5.7","6.75","","","","20","","3.72"
"2021-02-23 12:45:00","02SL","","350","","","","","0E-9","4.95","7.48","","","","19.5","","7.92"
"2021-02-23 15:45:00","02SL","","350","","","","","0E-9","4.95","7.48","","","","19.5","","7.92"
"2021-02-25 07:30:00","01SLC","","140","288","","","","0E-9","6.08","6.92","","","","23.9","",""
"2021-02-25 07:40:00","02LDM","","160","105.3","","","","0E-9","7.55","6.8","","","","23.1","",""
"2021-03-02 08:45:00","01AC","","1260","","","","","0E-9","6.01","7.2","","","","23.6","","7.11"
"2021-03-02 09:15:00","06SF","","550","","","","","0E-9","6.54","7.27","","","","23.4","","2.1"
"2021-03-02 10:50:00","03LP","","180","","","","","0E-9","6.25","6.94","","","","24.5","","2.32"
