"Fecha","Estación","Aceites y grasas (mg/L)","Alacloro (µg/L)","Aldrin (µg/L)","Alfa cipermetrina (µg/L)","AMPA (µg/L)","Atrazina (µg/L)","Atrazina desetil (µg/L)","Atrazina desisopropil (µg/L)","Azoxiestrobina (µg/L)","Clordano Cis (µg/L)","Clordano Trans (µg/L)","Clorofila_a_(lab_µg) (µg/L)","Clorpirifos (µg/L)","Clorpirifos Metil (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Color (unidad de color)","Compuestos Halogenados adsorbibles (AOX) (µg/L)","Conductividad (µS/cm)","Cromo VI (mg/L)","DBO5 (mg O2/L)","Demanda química de oxigeno (DQO) (mg O2/L)","Diazinon (µg/L)","Dieldrin (µg/L)","Diuron (µg/L)","Endosulfan alfa (µg/L)","Endosulfan beta (µg/L)","Endosulfan sulfato (µg/L)","Endrin (µg/L)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Etil Paration (µg/L)","Etion (µg/L)","Feofitina a (µg/L)","Fipronil (µg/L)","Floración Algal (sin unid)","Fluroxipir meptil (µg/L)","Fosfato (ortofosfato) (µg PO4-P/L)","Fósforo total (µg P/L)","Glifosato (µg/L)","Heptacloro (µg/L)","Heptacloro Epoxido (µg/L)","Hexaclorobenceno (µg/L)","Ion Nitrito (mg NO2-N/L)","Lindano (µg/L)","Malathion (µg/L)","Mercurio total (mg/L)","Metil Paration (µg/L)","Metoxicloro (µg/L)","Mirex (µg/L)","Nitrato (mg NO3-N/L)","Nitrógeno Amoniacal (amonio) (mg NH4-N/L)","Nitrógeno total (mg N/L)","o,p' DDD (µg/L)","o,p' DDE (µg/L)","o,p' DDT (µg/L)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","p,p' DDD (µg/L)","p,p' DDE (µg/L)","p,p' DDT (µg/L)","Profundidad_Sitio (m)","Saturación de oxígeno (%)","Simazina (µg/L)","Sólidos suspendidos totales (mg/L)","Sólidos totales (mg/L)","Temperatura (ºC)","Transparencia (cm)","Trifloxiestrobina (µg/L)","Trifluralina (µg/L)","Turbidez (NTU)"
"2011-05-05 12:00:00","SL05","","","","","","","","","","","","","","","","300","","350.8","","","","","","","","","","","","","","","","","","","","1060","","","","","0.37","","","","","","","0.57","0.45","","","","","9.36","8.33","","","","","","","","","12.2","","","","120"
"2011-05-05 12:00:00","SL02","","","","","","","","","","","","","","","","100","","212.9","","1","","","","","","","","","","","","","","","","","","78.4","","","","","0.039","","","","","","","0.18","0.021","","","","","7.32","7.78","","","","","","","","","13.5","","","","13"
"2011-05-05 13:05:00","SL03","","","","","","","","","","","","","","","","38","","303.9","","","","","","","","","","","","","","","","","","","","97.7","","","","","0.039","","","","","","","0.035","0.01","","","","","10.27","8.06","","","","","","","","","15.4","","","","5.7"
"2011-05-05 14:50:00","SL04","","","","","","","","","","","","","","","","38","","432","","","","","","","","","","","","","","","","","","","","139","","","","","0.039","","","","","","","0.035","0.01","","","","","12.8","8.72","","","","","","","","","16.9","","","","3.8"
"2011-05-10 09:30:00","CG01","","","","","","","","","","","","0.05","","","80","","","1007","","5","","","","","","","","","","","","","0.05","","","","","514","","","","","0.039","","","","","","","0.035","0.058","","","","","3.12","7.67","","","","","","","","","11.9","","","","2.3"
"2011-05-10 10:35:00","CG03","","","","","","","","","","","","7","","","70","","","213.3","","5","","","","","","","","","","","","","3","","","","","742","","","","","0.39","","","","","","","0.39","0.14","","","","","8.87","7.88","","","","","","","","","13.5","","","","130"
"2011-05-10 11:00:00","CA02","","","","","","","","","","","","","","","17000","400","","1288","","5","","","","","","","","","","","","","","","","","","","","","","","2.6","","","","","","","0.035","62","","","","","1.06","7.75","","","","","","","","","11.4","","","","31"
"2011-05-10 12:20:00","CA01","","","","","","","","","","","","","","","100","150","","795","","5","","","","","","","","","","","","","","","","","","644","","","","","0.1","","","","","","","0.014","0.01","","","","","4.75","7.77","","","","","","","","","11.6","","","","28"
"2011-05-10 14:30:00","CA04","","","","","","","","","","","","","","","30","30","","289.1","","5","","","","","","","","","","","","","","","","","","149","","","","","0.039","","","","","","","0.19","0.034","","","","","5.04","7.18","","","","","","","","","14.5","","","","3.6"
"2011-07-19 09:30:00","SJ04","","","","","","","","","","","","","","","","140","","129.7","","3.3","","","","","","","","","","","","","","","","","","195","","","","","0.009","","","","","","","0.66","0.01","","","","","7.47","6.2","","","","","","","","","10.9","","","","45"
"2011-07-19 09:50:00","SL06","","","","","","","","","","","","","","","","400","","277.2","","3.2","","","","","","","","","","","","","","","","","","261","","","","","0.009","","","","","","","0.53","0.01","","","","","8.24","5.96","","","","","","","","","9.5","","","","70"
"2011-07-19 11:50:00","CO01","5","","","","","","","","","","","","","","","200","","92.6","0.007","3.4","","","","","","","","","","","","","","","","","","329","","","","","0.01","","","","","","","0.52","0.048","","","","","7.86","5.83","","","","","","","","","11","","","","80"
"2011-07-19 13:15:00","SJ03","","","","","","","","","","","","","","","","300","","91.2","","4.1","","","","","","","","","","","","","","","","","","221","","","","","0.01","","","","","","","0.6","0.007","","","","","6.67","5.65","","","","","","","","","10.6","","","","50"
